MOUNT ERICA HOTEL Prahran,$89.06,Dining,Mar 6 - confirmed personal,
Live Payments*MISTER MI South Yarra,$247.65,Dining,Mar 6 - confirmed personal,
CREATING SPACE PSYCH (x2),$520.00,Health/Wellness,Psychology - confirmed personal,
OVO ENERGY Melbourne,$183.82,Utilities,Confirmed personal,
VIETNAM AIRLINES (x5 tickets),$658.70,Travel - Personal,Personal holiday - confirmed,
VIETNAM AIRLINES (fee),$22.32,Travel - Personal,Personal holiday - confirmed,
Small Saint Haven charges,$102.80,Wellness,Estimate,
NETFLIX,$37.98,Subscriptions,,
SPOTIFY,$15.99,Subscriptions,,
KAYOSPORTS/BINGE/DAZN,$19.00,Subscriptions,,
IDENTITY MAN PTY LTD Toorak,$56.38,Grooming,,
LE CREUSET AUSTRALIA,$554.95,Other,,
LS HANDWORKS Prahran,$171.55,Other,Confirmed personal Apr 3,
LS HANDWORKS Prahran,$9.08,Other,Confirmed personal Apr 3,
SINGAPOREAIR AUSTRALIA (MEL-HCM),$262.76,Travel - Personal,Confirmed personal Apr 3,
MAJESTIC M SUITES North Adelaide,$15.73,Adelaide Trip,Confirmed personal Apr 3,
FEVER* GROUNDS ADELAID,$424.00,Adelaide Trip,Adelaide event - confirmed personal Apr 3,
SP LIV GOLF SHOP AUS Adelaide,$70.00,Adelaide Trip,LIV Golf merchandise - confirmed personal Apr 3,
SP CROP SHOP West Burleigh,$689.90,Other,Clothing - confirmed personal Apr 3,
PERSONAL TOTAL (Ben),$10510.06,,,
,,,,
=== LAURA'S CARD (all personal) ===,,,,
Merchant,Amount (AUD),Category,Notes,
CITYSKIN (x2),$600.00,Beauty,Estimate,
UBER EATS (x2),$80.00,Food Delivery,Estimate,
PETER BOUCHIER (x2),$120.00,Groceries,Estimate,
SAINT HAVEN (x2),$400.00,Gym/Wellness,Estimate,
KK TENNIS,$235.00,Sport/Recreation,,
WW METRO / COLES / TOSCANO'S,$200.00,Groceries,Estimate,
BUDGET DIRECT,$110.04,Insurance,,
KINDLE UNLIMITED,$13.99,Subscription,,
CAR WASH,$71.07,Vehicle,,
78 CECIL ST (x2),$150.00,Dining,Estimate,
UBER TRIP (x2),$60.00,Transport,Estimate,
LAURA CARD TOTAL,$2140.10,,,
